Date,Ret,Vol5,Vol10,Vol100,Mom10,Mom20,Mom50,Mom100,VIX,VIXchg,CreditSpread,TermSpread,VIX_Regime,RSI14,Mom20_div_Vol20,Mom20_mul_Vol5,VolRatio,VIX_per_Ret,Mom10_lag1,VIXchg_lag1,VolRatio_lag1,Crash
2013-01-29,0.0039313256775128,0.0027485397049624,0.0027005175683779,0.0075361017928381,0.0251068423037077,0.0759124203489942,0.1162255020498042,0.0806074109522858,13.3100004196167,0.0707964676456598,1.0099999999999998,1.7299999999999998,0,94.59142485390784,10.958355914551298,0.0002086483014290062,2.519096149080276,3384.765533468044,0.0203987899605464,0.0890850444044077,2.4982562814876688,0
2013-01-30,-0.003915930877901,0.0038559169678877,0.0033540376382699,0.0075489650102449,0.0203987899605464,0.0537882819455683,0.1137392094874147,0.077368006310627,14.31999969482422,0.1492776605925165,1.0099999999999998,1.7599999999999998,0,84.87554478012748,8.446130342255543,0.00020740314902744443,1.6509024169487374,3655.9235128749588,0.0251068423037077,0.0707964676456598,2.519096149080276,0
2013-01-31,-0.0024658240084832,0.004157351723299,0.0035933369817557,0.007554201574556,0.0180208518027054,0.0249210896780354,0.105534470475145,0.0756263668951828,14.279999732971191,0.1252955244416063,1.0099999999999998,1.75,0,75.38830144201074,7.184078848563019,0.00010360573511946939,0.8339682252868064,5788.819828193448,0.0203987899605464,0.1492776605925165,1.6509024169487374,0
2013-02-01,0.0102873608597264,0.005816344759595,0.0042831789788531,0.0073564154652501,0.0218918104605834,0.0378099729649796,0.0947508287642029,0.0650742853441552,12.899999618530272,0.0007757389403562,0.9499999999999996,1.77,0,81.16673445216736,9.670338115036264,0.00021991583811528773,0.6719374007890732,1253.8440082352754,0.0180208518027054,0.1252955244416063,0.8339682252868064,0
2013-02-04,-0.011240657104546,0.0081660152533438,0.0060274672886584,0.0074443093149099,0.0081572467029518,0.0216571710678141,0.0819779954152761,0.0490158804219227,14.670000076293944,0.0810611942673278,0.9499999999999996,1.75,0,65.50009663102269,4.48194318038934,0.00017685278928404596,0.59153729006015,1304.9677587445326,0.0218918104605834,0.0007757389403562,0.6719374007890732,0
2013-02-05,0.0100980911128982,0.0094079957272767,0.0065814436124213,0.0074789840987266,0.012874560799114,0.0348019704725939,0.0908667955958402,0.0656637824494545,13.720000267028809,0.0308038944016739,0.9499999999999996,1.77,0,70.5154829890266,6.769780231032018,0.0003274167895069733,0.5462626461468739,1358.5381212677758,0.0081572467029518,0.0810611942673278,0.59153729006015,0
2013-02-06,0.0007278709858584,0.0090800802958008,0.0065827407236258,0.0074759129296623,0.0119838577425392,0.0385431532554692,0.076986801873754,0.0634753353246315,13.40999984741211,-0.0635474767322109,0.9499999999999996,1.73,0,70.99039222242617,7.658092532532154,0.0003499749264130163,0.5541187150452194,18398.317545345824,0.012874560799114,0.0308038944016739,0.5462626461468739,0
2013-02-07,-0.0013226792344451,0.0089695656530179,0.006627143842112,0.0074734794658301,0.0103743559550524,0.0345399554161836,0.0778495677326882,0.0585377358961982,13.5,-0.0546218310614001,0.9499999999999996,1.74,0,66.37174501504828,6.797580830095524,0.00030980839775777004,0.5663202409402469,10198.845497232069,0.0119838577425392,-0.0635474767322109,0.5541187150452194,0
2013-02-08,0.0055644104824794,0.0080410900307933,0.0066227446510716,0.0073435572533195,0.0103163559815999,0.0320917854678264,0.0894085921676097,0.0484531459503418,13.020000457763672,0.0093023909133316,0.9499999999999996,1.74,0,68.1676558905059,6.478671671966075,0.00025805293619569615,0.6158164622074088,2339.4501625265993,0.0103743559550524,-0.0546218310614001,0.5663202409402469,0
2013-02-11,-0.0001982350756278,0.0047705482903133,0.0065925772129338,0.0073330935990329,0.0113275313920069,0.0319573892861904,0.0804914943709347,0.0436179601851183,12.9399995803833,-0.1179277768857171,0.9499999999999996,1.72,0,65.03342448689703,6.448438299453952,0.00015245426882211217,1.0384121931290495,64948.400976126795,0.0103163559815999,0.0093023909133316,0.6158164622074088,0
2013-02-12,0.0016477371083305,0.0026341647325626,0.0065245988414484,0.0073236901286908,0.0090271190716448,0.0343606038303412,0.0772461646782431,0.0488991797295554,12.640000343322754,-0.0787171940733452,0.9499999999999996,1.73,0,65.07390504182582,6.973827552770681,9.051149079944018e-05,1.8693630765915987,7666.474102788851,0.0113275313920069,-0.1179277768857171,1.0384121931290495,0
2013-02-13,0.0008547337624649,0.002628074960722,0.0063024920578377,0.0073225500232759,0.0138597734101164,0.0345412859773566,0.0779393146518359,0.0506552714516046,12.979999542236328,-0.0320656457918426,0.9499999999999996,1.7599999999999998,0,65.42739833078919,7.012995773288018,9.077708878822882e-05,1.8730258513249372,15168.268580227643,0.0090271190716448,-0.0787171940733452,1.8693630765915987,0
2013-02-14,0.0009206379717636,0.0022273773421485,0.0061613760877117,0.0073226589017203,0.0173016580678952,0.0356343004865833,0.084271160352827,0.0510489110144918,12.65999984741211,-0.0622222335250289,0.9499999999999996,1.73,0,62.469230661116704,7.257320669849195,7.937103350712692e-05,2.2030011958411637,13736.413033402445,0.0138597734101164,-0.0320656457918426,1.8730258513249372,0
2013-02-15,-0.00118233908599,0.0011063470220525,0.0054144967453468,0.0073245136877652,0.0057523254479272,0.0277700647269241,0.0845228786579086,0.0497345532913726,12.460000038146973,-0.0430107834046025,0.9499999999999996,1.7199999999999998,0,62.46865017287033,5.759097893252165,3.072332841283765e-05,4.353600894505441,10529.526308786415,0.0173016580678952,-0.0622222335250289,2.2030011958411637,0
2013-02-19,0.0074945961861376,0.0032750805088487,0.0038954820515042,0.0073570323878939,0.0248095659183753,0.0331691903711166,0.0907201361836391,0.0580443217276047,12.3100004196167,-0.0486861809270584,0.9499999999999996,1.7399999999999998,0,64.83321382723642,6.619613759230133,0.00010863176887873595,1.5291883253947427,1642.2977057359208,0.0057523254479272,-0.0430107834046025,4.353600894505441,0
2013-02-20,-0.0124630942378742,0.0072568040532656,0.0052710149671927,0.0074693134271591,0.0019197903912726,0.0148190676485007,0.0734850411305976,0.0464357310489824,14.68000030517578,0.1613923976616571,0.9499999999999996,1.75,0,56.318079215103054,2.5412333768018285,0.00010753907017725699,0.8033348539996378,1177.7831605740098,0.0248095659183753,-0.0486861809270584,1.5291883253947427,0
2013-02-21,-0.006078894535493,0.0075019502242533,0.0056236056057869,0.0074144035074372,-0.0048950823449854,0.0070301134270935,0.0637375235944761,0.0512624018057221,15.220000267028809,0.1725732514476305,0.9499999999999996,1.73,1,53.3963264864954,1.167351394409153,5.2739561000910214e-05,0.802521247967581,2503.3329407571155,0.0019197903912726,0.1613923976616571,0.8033348539996378,0
