Date,Ret,Vol5,Vol10,Vol20,Vol100,Mom10,Mom20,Mom50,Mom100,VIX,VIXchg,CreditSpread,TermSpread,VIX_Regime,RSI14,Crash
2010-05-27,0.03349820057278374,0.018399369754830412,0.01918221996565367,0.020298938477612855,0.012044070513883134,-0.045089840502993916,-0.08356789221599992,-0.050246810212535076,-0.018652556205199455,29.68000030517578,-0.3518235485531226,0.96,2.4699999999999998,1,48.96684062711146,0
2010-05-28,-0.012549690289695103,0.019233459565408173,0.01881945236746858,0.020176082377037,0.012104572326079172,-0.03968745435647447,-0.07945479844794756,-0.06168515823362464,-0.03352655223494927,32.06999969482422,-0.20024935373698605,0.96,2.55,1,33.59101852668816,0
2010-06-01,-0.01682331650829827,0.01999925742719696,0.019164445260424292,0.019961094401332164,0.01221672890248678,-0.05634026970507944,-0.10652246904143337,-0.07277751604013738,-0.0504543365775445,35.540000915527344,-0.07254694158237063,1.3500000000000005,2.51,1,31.306226412267392,0
2010-06-02,0.026038912004123338,0.023240676570365833,0.021309015490112996,0.020661025950416766,0.012492583928264847,-0.01841638922739819,-0.0611811833356839,-0.05369251849206491,-0.029824348120054633,30.170000076293945,-0.12828663553185982,1.3500000000000005,2.5300000000000002,1,34.773098569633305,0
2010-06-03,0.0034444867312286576,0.022509054152816076,0.02131241419458308,0.02069593326070882,0.012492923686820622,-0.00939512550154531,-0.05230232348462527,-0.05706493050502093,-0.02971182770343439,29.459999084472656,-0.1587664563281982,1.3500000000000005,2.5700000000000003,1,38.16141846284565,0
2010-06-04,-0.035137204196469374,0.02301985955236871,0.020816715019772024,0.02085021466839288,0.012970122625890852,-0.006695781283254765,-0.054188457448885674,-0.08575827513220213,-0.06511059585782186,35.47999954223633,0.1954177620425801,1.3500000000000005,2.4800000000000004,1,35.32571796879209,0
2010-06-07,-0.012450853568260256,0.023013950029433326,0.020393250685696557,0.020781883747602398,0.012995121949607585,-0.03317752222500103,-0.051860879412002125,-0.09567125325335568,-0.0680592167679609,36.56999969482422,0.14031805559157062,1.3500000000000005,2.4299999999999997,1,33.320033963643894,0
2010-06-08,0.01071240459148326,0.023363234084344202,0.02051417345230922,0.01800856499162165,0.013013057524303215,-0.010119718718039294,-0.08212764161021036,-0.08543480078468602,-0.0659648849813197,33.70000076293945,-0.051772653494333465,1.3500000000000005,2.4400000000000004,1,38.41219378806769,0
2010-06-09,-0.005345898169446639,0.017635996240343517,0.02054920030794167,0.01800790142473498,0.01301732073834484,-0.01641590700043516,-0.0844336489370423,-0.09606156872078553,-0.07346387732783477,33.72999954223633,0.11799799326946814,1.3500000000000005,2.46,1,38.52029898039845,0
2010-06-10,0.02923075418488641,0.024257297565632528,0.022601490432444034,0.019109219939303587,0.013311579153098703,0.018475146688810673,-0.07066875033864817,-0.07027307518787962,-0.03555565639161995,30.56999969482422,0.037678229628208104,1.3500000000000005,2.54,1,53.38930498933408,0
2010-06-11,0.004856019635891773,0.016051087981866406,0.01981853253093782,0.01907416812007948,0.013259373119316712,-0.009750688068348445,-0.054400871601546164,-0.06256376766679039,-0.04283262449002867,28.790000915527344,-0.1885568972103574,1.3500000000000005,2.49,1,51.254980826244285,0
2010-06-14,-0.0015500744557204182,0.013568569244043904,0.01939481593526944,0.018722793864524277,0.01322286948990754,0.0012801070045715957,-0.038458151540218144,-0.07037357140030231,-0.03449831002740744,28.579999923706055,-0.21848509263862514,1.3500000000000005,2.51,1,54.18982471396768,0
2010-06-15,0.02273781352133275,0.01522690156596285,0.01954870031708317,0.019509775713132133,0.013280734409161193,0.04156968381655579,-0.017112633086303286,-0.056921659789512136,0.006815030959062884,25.8700008392334,-0.23234420612586038,1.3500000000000005,2.53,0,58.759366604893664,1
2010-06-16,-0.00035737465297569493,0.014092357093151509,0.01800108617708934,0.01927144200509132,0.013085959455539295,0.014773846323742124,-0.003914623807939832,-0.05947616501503261,0.029402408467781083,25.920000076293945,-0.23154460634257612,1.3500000000000005,2.52,0,60.30099474753613,1
2010-06-17,0.0016079963981743273,0.009958771881093153,0.017989700892244685,0.019227401402102426,0.013077776648776525,0.01291662115219272,0.0034001423738665437,-0.052551326763421446,0.025797553214350177,25.049999237060547,-0.18056920225283024,1.3500000000000005,2.49,0,53.47782114954933,1
2010-06-18,0.0010843442191279529,0.010156728503912608,0.012668408141197502,0.01700972749036794,0.013069955327082345,0.050942140006894565,0.043905261296052656,-0.054798288070661116,0.03123147161337858,23.950000762939453,-0.16811392840135442,1.3500000000000005,2.5,0,57.78498807668805,1
2010-06-21,-0.0028642644684911955,0.010373737492672227,0.011506106279447712,0.01679133174315799,0.013066466228506586,0.06114411375197992,0.02593798133404457,-0.06365532481943059,0.023409249251372444,24.8799991607666,-0.12946118869197198,1.3500000000000005,2.5199999999999996,0,62.93014778424922,1
2010-06-22,-0.016515502443682717,0.007529109434174311,0.013344694831305607,0.016975075835392893,0.013122038544331542,0.03255761065881724,0.02210841807877917,-0.0805802894921761,0.01818815087644965,27.049999237060547,0.0456126153671248,1.3500000000000005,2.47,0,49.25884002998838,1
2010-06-23,-0.0031033835569879153,0.007348861226376152,0.01320155255925495,0.017002783932989127,0.013078388598128429,0.034885581282822375,0.017896995824392414,-0.08412177460902714,0.02618136146318406,26.90999984741211,0.03819443550170365,1.3500000000000005,2.4699999999999998,0,47.01074207458841,0
