Date,Ret,Vol5,Vol10,Vol100,Mom10,Mom20,Mom50,Mom100,VIX,VIXchg,CreditSpread,TermSpread,VIX_Regime,RSI14,Mom20_div_Vol20,Mom20_mul_Vol5,VolRatio,VIX_per_Ret,Mom10_lag1,VIXchg_lag1,VolRatio_lag1,Crash,Reg_0,Reg_1,Reg_2
2010-05-28,-0.0125501402864348,0.0192338274225493,0.0188197543523197,0.0121046230492691,-0.0396877125794329,-0.0794547271635662,-0.0616850825030332,-0.0335268132109455,32.06999969482422,-0.200249353736986,0.96,2.55,1,33.59101702176439,-3.937837071397952,-0.0015282185101697,1.0489436999710875,2555.146302482596,-0.0450898248454796,-0.3518235485531226,1.1031682087183132,0,True,False,False
2010-06-01,-0.016823133922093,0.0199994827708586,0.0191647340682402,0.0122167768258581,-0.0563401813380274,-0.1065223106182368,-0.07277718768611,-0.0504542476593166,35.540000915527344,-0.0725469415823706,1.3500000000000003,2.51,1,31.306237445668785,-5.336186051297895,-0.0021303911159214,0.9980386956689886,2112.441631771438,-0.0396877125794329,-0.200249353736986,1.0489436999710875,0,True,False,False
2010-06-02,0.0260386286370322,0.0232407885927252,0.0213092313655578,0.0124926237900814,-0.0184165683986826,-0.0611815960223381,-0.0536926912242958,-0.0298247829199871,30.170000076293945,-0.1282866355318598,1.3500000000000003,2.53,1,34.77317540547796,-2.961043094451002,-0.0014219085389206,0.8889667311431855,1158.618676818906,-0.0563401813380274,-0.0725469415823706,0.9980386956689886,0,True,False,False
2010-06-03,0.0034443048270464,0.0225091891999869,0.0213126313660281,0.0124929630109017,-0.0093956644002959,-0.0523028316445798,-0.0570652735566936,-0.0297124375923819,29.459999084472656,-0.1587664563281982,1.3500000000000003,2.5700000000000003,1,38.161334066782814,-2.527063212850828,-0.0011772943331829,0.9194094581846224,8550.767076748967,-0.0184165683986826,-0.1282866355318598,0.8889667311431855,0,True,False,False
2010-06-04,-0.0351365803075254,0.0230195542378631,0.0208167343516845,0.0129701439624026,-0.0066952213587898,-0.0541881899770455,-0.0857582529599189,-0.0651103314747201,35.47999954223633,0.1954177620425801,1.3500000000000003,2.4800000000000004,1,35.32579407206248,-2.5987923086279827,-0.0012473879782282,0.9057252346057608,1009.7451000243632,-0.0093956644002959,-0.1587664563281982,0.9194094581846224,0,True,False,False
2010-06-07,-0.0124506615165107,0.0230136060572451,0.0203932142374684,0.0129951420829321,-0.0331773284656294,-0.0518602552743208,-0.0956707435818108,-0.0680588548842557,36.56999969482422,0.1403180555915706,1.3500000000000003,2.43,1,33.320192835120594,-2.4953262710451103,-0.0011934914849113,0.9029898499548744,2936.95742101028,-0.0066952213587898,0.1954177620425801,0.9057252346057608,0,True,False,False
2010-06-08,0.0107120176635369,0.0233628433362714,0.0205140748166856,0.0130130773534064,-0.0101193476103974,-0.0821277936239458,-0.0854348723995748,-0.0659644671953819,33.70000076293945,-0.0517726534943334,1.3500000000000003,2.4400000000000004,1,38.41223736807054,-4.560230747332458,-0.0019187387759898,0.7707879850803416,3145.705703225118,-0.0331773284656294,0.1403180555915706,0.9029898499548744,0,True,False,False
2010-06-09,-0.0053466532017351,0.0176355853332595,0.0205491176522738,0.0130173417014446,-0.0164163770220219,-0.0844346554298546,-0.0960623246894953,-0.0734647376824917,33.72999954223633,0.1179979932694681,1.3500000000000003,2.46,1,38.52018650260991,-4.688493955559483,-0.0014890545709175,1.0210541027773132,6307.439594492083,-0.0101193476103974,-0.0517726534943334,0.7707879850803416,0,True,False,False
2010-06-10,0.0292317231111634,0.0242573549946395,0.0226015569235351,0.0133116216475636,0.0184755242547571,-0.0706684134624906,-0.0702726583914412,-0.0355556469011424,30.56999969482422,0.0376782296282081,1.3500000000000003,2.54,1,53.38940344208889,-3.697914843232106,-0.0017142287922675,0.7877426542473507,1045.7458779524422,-0.0164163770220219,0.1179979932694681,1.0210541027773132,0,True,False,False
2010-06-11,0.0048557415326651,0.0160514909436776,0.0198185147415912,0.0132594155851429,-0.009751048170858,-0.0544011999622537,-0.0625641710617838,-0.0428327927120745,28.790000915527344,-0.1885568972103574,1.3500000000000003,2.49,1,51.25490819683934,-2.8519193101134044,-0.0008732203685193,1.1882451326397578,5927.842921410119,0.0184755242547571,0.0376782296282081,0.7877426542473507,0,True,False,False
2010-06-14,-0.0015498908411201,0.0135690963273725,0.0193947650114778,0.0132229119141676,0.001280383325058,-0.0384581447397713,-0.0703734004423195,-0.0344983039020462,28.57999992370605,-0.2184850926386251,1.3500000000000003,2.51,1,54.18993601664821,-2.053958465485749,-0.0005218422705459,1.379718687633665,18428.118321380192,-0.009751048170858,-0.1885568972103574,1.1882451326397578,0,True,False,False
2010-06-15,0.0227376254402327,0.0152273470494808,0.0195486459323974,0.0132807747581915,0.0415695862809391,-0.0171126330863032,-0.0569216597895121,0.0068147575536354,25.8700008392334,-0.2323442061258603,1.3500000000000003,2.53,0,58.75940880689562,-0.877081516670005,-0.0002605800029355,1.2811555267342214,1137.711727880445,0.001280383325058,-0.2184850926386251,1.379718687633665,1,True,False,False
2010-06-16,-0.0003571049362565,0.0140925666721803,0.018001064846035,0.0130859972284858,0.0147743053527411,-0.0039143550510132,-0.0594755930189034,0.0294025909098274,25.920000076293945,-0.2315446063425761,1.3500000000000003,2.52,0,60.30109028863348,-0.2031052146187567,-5.516330953498924e-05,1.3674003685728942,72381.01866802588,0.0415695862809391,-0.2323442061258603,1.2811555267342214,1,True,False,False
2010-06-17,0.0016072764627939,0.009958692423906,0.017989681530586,0.0130778137480611,0.0129165348982374,0.0033995110708229,-0.0525515909287354,0.0257969981795425,25.049999237060547,-0.1805692022528302,1.3500000000000003,2.49,0,53.47761923639627,0.1767953633448004,3.385468514598859e-05,1.930532314823156,15575.679814118312,0.0147743053527411,-0.2315446063425761,1.3674003685728942,1,True,False,False
2010-06-18,0.0010847038794326,0.0101566059791013,0.0126685908986525,0.0130699913575033,0.0509417485392642,0.0439054608976001,-0.0547980523113436,0.0312316652747344,23.950000762939453,-0.1681139284013544,1.3500000000000003,2.5,0,57.78505561261556,2.5810351673004046,0.0004459304666677,1.674587037217253,22059.42266270244,0.0129165348982374,-0.1805692022528302,1.930532314823156,1,True,False,False
2010-06-21,-0.0028643544214782,0.0103736592803258,0.0115063527241483,0.0130665015461787,0.0611434163931039,0.0259375127182897,-0.06365486234534,0.0234090651324403,24.8799991607666,-0.1294611886919719,1.3500000000000003,2.52,0,62.93015846704464,1.5446002600753514,0.0002690669195186,1.6184993051712533,8683.044224571468,0.0509417485392642,-0.1681139284013544,1.674587037217253,1,True,False,False
2010-06-22,-0.0165152355537452,0.0075289527287577,0.0133448728111355,0.0131220719231987,0.0325576075840066,0.0221087982251035,-0.0805801280803347,0.018188054360958,27.049999237060547,0.0456126153671248,1.3500000000000003,2.47,0,49.258927807941525,1.3023497576398833,0.0001664560967264,2.254341309468269,1637.782359608375,0.0611434163931039,-0.1294611886919719,1.6184993051712533,1,True,False,False
2010-06-23,-0.0031030174159893,0.0073486798995969,0.0132016557520734,0.0130784179087613,0.0348867438671918,0.0178976529047754,-0.0841212774921938,0.0261820254513183,26.90999984741211,0.0381944355017036,1.3500000000000003,2.47,0,47.01099604986608,1.0525686281787483,0.0001315241221512,2.3134051241967195,8669.410071217484,0.0325576075840066,0.0456126153671248,2.254341309468269,0,True,False,False
2010-06-24,-0.0165708761376759,0.0083371326244987,0.0110586908135135,0.0130955889872051,-0.0111675136269349,0.0071016849589424,-0.1094062579322991,-0.0062761504336622,29.739999771118164,0.1872255759241274,1.3500000000000003,2.47,1,53.97021598321059,0.4083093091384452,5.92076893601104e-05,2.085827321628076,1794.6066893117031,0.0348867438671918,0.0381944355017036,2.3134051241967195,0,True,False,False
2010-06-25,0.004189317129366,0.0092145068094464,0.0110209733836916,0.0130456602811166,-0.0118233113424247,-0.0214590698348436,-0.1064124700486676,-0.0140463366150529,28.530000686645508,0.191231723499283,1.3500000000000003,2.47,1,61.03055371714855,-1.3747756493214602,-0.0001977347451175,1.6936825525183594,6808.55405589842,-0.0111675136269349,0.1872255759241274,2.085827321628076,0,True,False,False
2010-06-28,-0.0031520135092398,0.0091832872464732,0.0110393182349714,0.0130399619267353,-0.0134089491809937,-0.0121457344508737,-0.0948258633354106,-0.0122324015442423,29.0,0.1655948946224343,1.3500000000000003,2.43,1,55.76643874531392,-0.7896110072962891,-0.0001115377682817,1.6746995153044275,9197.55018968884,-0.0118233113424247,0.191231723499283,1.6936825525183594,0,True,False,False
2010-06-29,-0.0308750437688245,0.0139166821978011,0.0110897689292901,0.0130401807364328,-0.0651267879858463,-0.0262644953372853,-0.1260679905032585,-0.0122417395900282,34.130001068115234,0.261737598179099,1.3500000000000003,2.3600000000000003,1,45.5466139621522,-1.5965590618857188,-0.0003655146346946,1.181927276184431,1105.3877667635725,-0.0134089491809937,0.1655948946224343,1.6746995153044275,0,True,False,False
2010-06-30,-0.0095000283697764,0.0134205352020594,0.0108878452367407,0.0130725732762186,-0.073677315618966,-0.0599915414247497,-0.1420324032635673,-0.0236437987059277,34.540000915527344,0.2835377596202031,1.3500000000000003,2.3600000000000003,1,29.05920253157037,-3.939729279142308,-0.0008051185935166,1.134469760956539,3635.3960404330655,-0.0651267879858463,0.261737598179099,1.181927276184431,0,True,False,False
2010-07-01,-0.004456384492415,0.0132973515133861,0.0104812151975498,0.0130604027109307,-0.0792852088773314,-0.0673927641464721,-0.1442987793097963,-0.0209261784480518,32.86000061035156,0.1049092422073039,1.29,2.33,1,25.1091265634295,-4.447119826667174,-0.0008961452743143,1.139483314937063,7372.036373857462,-0.073677315618966,0.2835377596202031,1.134469760956539,0,True,False,False
2010-07-02,-0.005449736904881,0.0115324707669994,0.0100338371854771,0.013007750135097,-0.0852950462652348,-0.0386983765244591,-0.1514933821511699,-0.038340848447174,30.1200008392334,0.0557308136810577,1.29,2.37,1,24.36839821520537,-2.929898661361181,-0.0004462878959986,1.145110099855277,5525.8584967221,-0.0792852088773314,0.1049092422073039,1.139483314937063,0,True,False,False
2010-07-06,0.0065559071119667,0.0137265950377345,0.0110471671942931,0.0130246858297436,-0.0766535340213114,-0.0201969765768754,-0.1514697759298287,-0.0301367072456559,29.64999961853028,0.0224137799493198,1.29,2.33,0,12.414206326324331,-1.542767320853925,-0.0002772357184573,0.9535825528720756,4521.949009223795,-0.0852950462652348,0.0557308136810577,1.145110099855277,0,True,False,False
