Date,Open_IVV,Open_SPY,Open_VOO,High_IVV,High_SPY,High_VOO,Low_IVV,Low_SPY,Low_VOO,Close_IVV,Close_SPY,Close_VOO,Volume_IVV,Volume_SPY,Volume_VOO,Adj Close_IVV,Adj Close_SPY,Adj Close_VOO,VIX,yield10Y,SMA50_SPY,EMA20_SPY,RSI14_SPY,STD20_SPY,SMA50_VOO,EMA20_VOO,RSI14_VOO,STD20_VOO,SMA50_IVV,EMA20_IVV,RSI14_IVV,STD20_IVV,day_of_week,month,is_holiday,is_trading_day
2015-03-16,208.1699981689453,206.7100067138672,189.58999633789062,210.14999389648438,208.69000244140625,191.3800048828125,208.13999938964844,205.86000061035156,189.5500030517578,210.13999938964844,208.5800018310547,191.3800048828125,3195600.0,136099200.0,1054700.0,175.0645751953125,174.19879150390625,159.0818328857422,15.61,2.1,206.0002005004883,208.03407011833445,52.09165336535732,2.325108877955562,188.93219940185546,190.8124227229691,52.282819252389125,2.1395659764177686,207.45519927978515,209.5159265390386,52.3020361200791,2.3457006322686,0,3,0,1
2015-03-17,209.2100067138672,207.69000244140625,190.47999572753906,209.88999938964844,208.4199981689453,191.1300048828125,208.4499969482422,206.97999572753906,189.8300018310547,209.42999267578125,207.9600067138672,190.72999572753906,3231900.0,94510400.0,1460900.0,174.47314453125,173.68104553222656,158.54153442382812,15.66,2.06,206.05080078125,208.02701646076616,50.32546277804676,2.3421409170533543,188.97879943847656,190.80457253292815,50.28828783774587,2.1559917145773264,207.50919921875,209.5077423615855,50.30637583290166,2.3623908324807177,1,3,0,1
2015-03-18,208.8699951171875,207.38999938964844,190.1699981689453,212.75999450683594,211.27000427246094,193.75999450683594,208.0800018310547,206.6199951171875,189.49000549316406,211.89999389648438,210.4600067138672,193.0,5602500.0,228808500.0,2287400.0,176.53086853027344,175.7689666748047,160.42840576171875,13.97,1.93,206.2256008911133,208.25872981820436,56.700576814537506,2.3492066792345527,189.13699951171876,191.01366086312547,56.525724146352026,2.1614273767666616,207.68519897460936,209.7355758410997,56.521652228840175,2.368178883433685,2,3,0,1
2015-03-19,211.4499969482422,209.9600067138672,192.55999755859375,211.77999877929688,210.47000122070312,192.85000610351562,210.52000427246094,209.02999877929688,191.75,210.99000549316406,209.5,192.11000061035156,3664700.0,117917300.0,1372000.0,175.7727508544922,174.96713256835938,159.6885986328125,14.07,1.98,206.4192007446289,208.37694602599444,53.842972450674246,2.3448689336340416,189.31379943847656,191.1180741723851,53.68177399632453,2.1571191302973602,207.87959899902344,209.8550453317725,53.84947873058679,2.364152666730384,3,3,0,1
2015-03-20,212.1199951171875,209.7100067138672,193.19000244140625,213.4499969482422,211.02000427246094,194.38999938964844,212.0399932861328,209.49000549316406,193.1300048828125,212.85000610351562,210.41000366210938,193.85000610351562,3179400.0,177715100.0,1350100.0,177.32229614257812,176.5115966796875,161.13494873046875,13.02,1.93,206.58120086669922,208.57057056276727,56.10146273172914,2.316364455892605,189.479599609375,191.3782581658261,58.11832502301957,2.1602243797739997,208.06139923095702,210.14027969098612,58.199516442720196,2.3689897630681256,4,3,0,1
2015-03-23,212.86000061035156,210.4199981689453,192.85000610351562,213.52999877929688,211.11000061035156,193.49000549316406,212.44000244140625,210.0,192.49000549316406,212.5,210.0,192.52000427246094,2388400.0,71784500.0,707100.0,177.03073120117188,176.16761779785156,160.8459014892578,13.41,1.92,206.66320098876952,208.7067066996466,54.800414152618586,2.278897300223891,189.55359954833983,191.4869958902675,53.87082406644837,2.125819732115731,208.16339935302733,210.36501495851127,57.10866494239909,2.362300053575805,0,3,0,1
2015-03-24,212.22000122070312,209.85000610351562,192.3800048828125,212.82000732421875,210.39999389648438,192.85000610351562,211.14999389648438,208.74000549316406,191.3300018310547,211.1699981689453,208.82000732421875,191.39999389648438,4224100.0,77805300.0,1587700.0,175.9227294921875,175.17770385742188,159.9101104736328,13.62,1.88,206.7546011352539,208.71749723532014,51.12561085638423,2.1968511074170762,189.63699951171876,191.4787099860977,50.522266916250835,2.0538432239292512,208.27379943847657,210.44168002617164,53.04035542134462,2.290575215182293,1,3,0,1
2015-03-25,210.47000122070312,209.07000732421875,191.63999938964844,210.77000427246094,209.35000610351562,191.8699951171875,207.11000061035156,205.7100067138672,188.57000732421875,207.19000244140625,205.75999450683594,188.61000061035156,4066700.0,159521700.0,1216700.0,173.42996215820312,172.61070251464844,157.57919311523438,15.44,1.93,206.81680114746095,208.43583030879785,43.061319541968366,2.229204707242403,189.69239959716796,191.20549956935997,43.30164953224067,2.096236887735401,208.3357995605469,210.13199644667017,43.13710009819983,2.342840189590798,2,3,0,1
2015-03-26,206.35000610351562,204.9600067138672,187.8800048828125,207.74000549316406,206.3699951171875,189.14999389648438,205.5,204.1199951171875,187.14999389648438,206.67999267578125,205.27000427246094,188.13999938964844,4182600.0,153067200.0,1906200.0,173.00306701660156,172.19969177246094,157.18649291992188,15.8,2.01,206.88060119628906,208.13432306724195,41.921046963265354,2.2723878066022896,189.74819946289062,190.9135471712922,42.20729133134392,2.1487735651000333,208.39819946289063,209.80323418277598,42.05353592344931,2.4058483181507473,3,3,0,1
2015-03-27,206.52999877929688,205.1300048828125,188.0399932861328,207.3300018310547,205.9499969482422,188.77999877929688,206.2899932861328,204.89999389648438,187.8300018310547,207.10000610351562,205.74000549316406,188.52999877929688,2208600.0,118939000.0,1837000.0,173.3546142578125,172.59397888183594,157.51229858398438,15.07,1.95,206.97820129394532,207.9062928220917,43.46742737817548,2.289586415160694,189.83359954833983,190.68654256253075,43.483667401173605,2.177154208051926,208.49359954833983,209.5457838895131,43.316325684582324,2.440559233469174,4,3,0,1
