Date,Vol5,Vol20,VIX,Label,Vol20_div_Vol5,VIX_mul_Vol5,Vol20_sq,Vol5_sq,Regime_0,Regime_1,Regime_2
2017-08-21,0.0071709224063794,0.005461831925797,13.1899995803833,0,0.7615575875359052,0.0945844635311055,2.9831607985655368e-05,5.142212815831413e-05,True,False,False
2017-08-22,0.0094213798250208,0.0059808254469753,11.350000381469728,0,0.6347468004944385,0.1069326646079572,3.5770273027187296e-05,8.876239780730897e-05,True,False,False
2017-08-23,0.009357994782503,0.0060220722972982,12.25,0,0.6434528960905819,0.1146354360856617,3.6265354753886416e-05,8.757206634935336e-05,True,False,False
2017-08-24,0.0056539086681563,0.0060346656621198,12.229999542236328,0,1.0671552833562057,0.0691473004233975,3.64171896535678e-05,3.196668322785295e-05,True,False,False
2017-08-25,0.0055220771890102,0.0060691484956161,11.279999732971191,0,1.0988708446248896,0.0622890292174813,3.683456346183917e-05,3.0493336481386795e-05,True,False,False
2017-08-28,0.005557109460078,0.0060701084518528,11.31999969482422,0,1.0921174718584283,0.0629064773921877,3.68462166172548e-05,3.08814655512884e-05,True,False,False
2017-08-29,0.0024449752186981,0.0060499260899651,11.699999809265137,0,2.473420844053051,0.0286062095924257,3.6601605694040405e-05,5.977903820047821e-06,True,False,False
2017-08-30,0.0026276742563245,0.0061595194780086,11.220000267028809,0,2.343203789206292,0.0294825058576256,3.793968019996734e-05,6.904671997350513e-06,True,False,False
2017-08-31,0.0024824882715454,0.0063013914894971,10.59000015258789,0,2.53731477683844,0.0262895511744634,3.970753470390648e-05,6.162748018360467e-06,True,False,False
2017-09-01,0.0025635989335662,0.006296269774634,10.130000114440918,0,2.455069949623168,0.0259692574904062,3.964301307496969e-05,6.572039492181758e-06,True,False,False
2017-09-05,0.0051482048515905,0.0064854775356542,12.229999542236328,0,1.2595104919259423,0.0629625429782906,4.206141886547527e-05,2.6504013193939965e-05,True,False,False
2017-09-06,0.0052384592360102,0.0065176196078806,11.630000114440918,0,1.2439489104306318,0.0609232815142927,4.247936535302966e-05,2.744145516734057e-05,True,False,False
2017-09-07,0.0049734109409577,0.0065176367521515,11.550000190734863,0,1.310232875713459,0.0574428973166642,4.247958883299596e-05,2.4734816387637757e-05,True,False,False
2017-09-08,0.0039989802991568,0.0056305185135454,12.119999885559082,0,1.407636561293144,0.0484676407681334,3.17027387313775e-05,1.599184343304421e-05,True,False,False
2017-09-11,0.0065597164088545,0.00606483360543,10.729999542236328,0,0.9244163636222342,0.0703857540642089,3.678220666155305e-05,4.302987936459497e-05,True,False,False
2017-09-12,0.0046362690950863,0.0057287286423871,10.579999923706056,0,1.235366877556733,0.0490517266722938,3.2818331858106347e-05,2.149499112205234e-05,True,False,False
2017-09-13,0.0047904412195274,0.0057256403213603,10.5,0,1.194972464240111,0.0502996328050377,3.2782957089586884e-05,2.2948327077747164e-05,True,False,False
2017-09-14,0.0048198127320468,0.005725425361468,10.4399995803833,0,1.1876473283037323,0.0503188429000946,3.278049556974097e-05,2.3230594772000435e-05,True,False,False
2017-09-15,0.0044427720402729,0.0042625607982158,10.170000076293944,0,0.9592213010895196,0.0451829919885319,1.816942455848612e-05,1.9738223401830624e-05,True,False,False
2017-09-18,0.0014334206532564,0.0042025851616137,10.149999618530272,0,2.9298136164402364,0.0145492190837458,1.7661722040615647e-05,2.054694769182005e-06,True,False,False
2017-09-19,0.0009185917567562,0.0042004128846585,10.18000030517578,0,4.567693059227915,0.00935126436411,1.764346840160514e-05,8.438108155804416e-07,True,False,False
2017-09-20,0.0009345903243914,0.0036640048643763,9.779999732971191,0,3.916249205291567,0.0091402931229853,1.3424931646173188e-05,8.734590744460223e-07,True,False,False
2017-09-21,0.0018518382011293,0.0036070507132669,9.670000076293944,0,1.9467704795099825,0.0179072755462043,1.3010814848079252e-05,3.4293047231618017e-06,True,False,False
2017-09-22,0.001779783912788,0.0035187699367898,9.59000015258789,0,1.975966826475204,0.0170681279952103,1.2381741868055693e-05,3.167630776218963e-06,True,False,False
2017-09-25,0.0016225963434843,0.0035903534368781,10.210000038146973,0,2.211358415092919,0.0165667087288718,1.2890637801702384e-05,2.632818893888621e-06,True,False,False
2017-09-26,0.0015293604936426,0.0035834937243345,10.170000076293944,0,2.34160104055286,0.0155535963370261,1.2841427272344746e-05,2.338943519514737e-06,True,False,False
2017-09-27,0.0025946333145379,0.0036349356194298,9.869999885559082,0,1.4004041322288725,0.0256090305175568,1.3212756957399503e-05,6.732122036909929e-06,True,False,False
2017-09-28,0.0021343173442875,0.0035440688019756,9.550000190734863,0,1.6597386854262468,0.0203827310450343,1.2560423673136763e-05,4.555310526126447e-06,True,False,False
2017-09-29,0.0024099822314851,0.0034038795571598,9.510000228881836,0,1.4118227470565397,0.0229189315730244,1.1586396039650395e-05,5.808014356073902e-06,True,False,False
2017-10-02,0.0016901812488461,0.0034843240160486,9.449999809265137,0,2.060290118771107,0.0159722124792191,1.2140513848813044e-05,2.8567126539509624e-06,True,False,False
2017-10-03,0.0013073773227013,0.0028826701528722,9.510000228881836,0,2.2032406881835787,0.0124331586381242,8.309787210260233e-06,1.709235463913619e-06,True,False,False
2017-10-04,0.0014102313205124,0.0028524174145512,9.630000114440918,0,2.0212259840686677,0.0135805277779225,8.136285106834954e-06,1.9887523773541477e-06,True,False,False
2017-10-05,0.00185457469962,0.0029882533217029,9.1899995803833,0,1.6104193069213864,0.0170435407112972,8.929657914668417e-06,3.4394473164706134e-06,True,False,False
2017-10-06,0.0027482243854963,0.0029863803552206,9.649999618530272,0,1.0862628641646823,0.0265203642716748,8.918467626047519e-06,7.552737273036515e-06,True,False,False
2017-10-09,0.0030319634285569,0.0022405577197794,10.329999923706056,0,0.7387354884280517,0.0313201819856723,5.020098895663064e-06,9.192802232106513e-06,True,False,False
2017-10-10,0.0030746796063885,0.0022088530948184,10.079999923706056,0,0.7181674873515391,0.0309927701978166,4.879031994488823e-06,9.453654681941342e-06,True,False,False
2017-10-11,0.0030730622532598,0.0022047447655675,9.850000381469728,0,0.7172088864594536,0.0302696643668892,4.8608994812972895e-06,9.4437116124102e-06,True,False,False
2017-10-12,0.0019794996902108,0.0022622956945666,9.90999984741211,0,1.1422853059501394,0.0196168416279413,5.117981809654576e-06,3.918419023544653e-06,True,False,False
2017-10-13,0.001924513611339,0.0022618979600111,9.609999656677246,0,1.174698504695679,0.0184945751442384,5.116182381502375e-06,3.70375264022908e-06,True,False,False
2017-10-16,0.0015293705432572,0.0022507120736927,9.90999984741211,0,1.4706974618724329,0.0151560618503154,5.065704838666095e-06,2.338974258582823e-06,True,False,False
2017-10-17,0.0012470229761383,0.0022524096809121,10.3100004196167,0,1.804782222745312,0.0128568074072575,5.073349370666548e-06,1.555066303016823e-06,True,False,False
2017-10-18,0.0011651048582844,0.0022460785432527,10.06999969482422,0,1.9261377116267075,0.0117326055673621,5.044868822460171e-06,1.357469330797912e-06,True,False,False
2017-10-19,0.0004257856804986,0.0020734699825326,10.050000190734863,0,4.858340092643764,0.0042791461702231,4.299277768463741e-06,1.812934457176559e-07,True,False,False
2017-10-20,0.0019783005724643,0.0022296094464469,9.970000267028809,0,1.1264632959060663,0.0197236572357323,4.971158283685251e-06,3.913673155012577e-06,True,False,False
2017-10-23,0.0032096651827164,0.0024152132750268,11.06999969482422,0,0.7522470072645184,0.0355309925931584,5.833255163865682e-06,1.0301950585141902e-05,True,False,False
2017-10-24,0.0032487980968557,0.0024082958384213,11.15999984741211,0,0.7410601417827819,0.0362565862651823,5.799888845357352e-06,1.0554689074133215e-05,True,False,False
2017-10-25,0.0041499235142504,0.0027324880426536,11.229999542236328,0,0.6582843632923576,0.0466036391653477,7.466490903244904e-06,1.7221865174128388e-05,True,False,False
2017-10-26,0.0042115417258724,0.0027328522514281,11.300000190734863,0,0.6487418829927762,0.0475904223056459,7.468481428135636e-06,1.773708370876427e-05,True,False,False
2017-10-27,0.0052465554948928,0.003125112694023,9.800000190734863,0,0.5955368546487074,0.0514162448506504,9.766329350343692e-06,2.752634456098984e-05,True,False,False
2017-10-30,0.0052126701302616,0.0032280173956063,10.5,0,0.6191449238167148,0.0547330363677468,1.042009630633688e-05,2.7171929886921486e-05,True,False,False
2017-10-31,0.0052014903129001,0.0032186259339964,10.18000030517578,0,0.6186702406759877,0.0529511729726918,1.0359552902994197e-05,2.7055501475193583e-05,True,False,False
2017-11-01,0.0042336748332704,0.0032195223750898,10.199999809265137,0,0.7602761727524171,0.0431834824918486,1.0365324323703867e-05,1.792400259386715e-05,True,False,False
