Date,Vol5,Vol20,VIX,Label,Vol20_div_Vol5,VIX_mul_Vol5,Vol20_sq,Vol5_sq
2019-09-09,0.0079377118496815,0.0127117778766696,15.270000457763672,0,1.6012393594030743,0.12120886357823264,0.0001615892967857867,6.30072694085741e-05
2019-09-10,0.0064713642305785,0.0123254887142816,15.199999809265137,0,1.9043255717980425,0.09836473507047844,0.00015191767204588308,4.187855500481086e-05
2019-09-11,0.0056670996542177,0.0119688312435798,14.609999656677246,0,2.1116127050930817,0.08279632400247634,0.00014325292133729198,3.2116018490834374e-05
2019-09-12,0.0030198953167043,0.009499582617161,14.220000267028809,0,3.1446248946900752,0.042942912209934195,9.024206990026744e-05,9.119767723852563e-06
2019-09-13,0.0032628585439622,0.0095352052029184,13.739999771118164,0,2.9214517340396204,0.044831675647231575,9.092013826176214e-05,1.0646245877907127e-05
2019-09-16,0.0039974136222461,0.0091917279260879,14.670000076293944,0,2.2988436901444094,0.05864205814332874,8.448786226722415e-05,1.5979315667318687e-05
2019-09-17,0.0039195922317152,0.0088833442760817,14.4399995803833,0,2.26581693556929,0.056598910181241135,7.891380552739351e-05,1.5363203262922144e-05
2019-09-18,0.0026045871582135,0.0086238192698995,13.949999809265137,0,3.309741239211646,0.036333990360292744,7.437025879988995e-05,6.7838742647306745e-06
2019-09-19,0.0020408249417914,0.0085059052832626,14.050000190734863,0,4.165834743795383,0.028673590821425638,7.235042468783462e-05,4.164966443037872e-06
2019-09-20,0.0029207485434274,0.008611707157027,15.31999969482422,0,2.9474497989908848,0.044745866793966055,7.416150015839006e-05,8.530772053933278e-06
2019-09-23,0.0026660531138244,0.0058592891893085,14.90999984741211,0,2.196915074145868,0.03975085152031438,3.4331269803947454e-05,7.107839205732778e-06
2019-09-24,0.0036804009635911,0.0059374493757986,17.049999237060547,0,1.6128233339752238,0.06275083362130515,3.525330509017118e-05,1.3545351252802297e-05
2019-09-25,0.0052264469266533,0.0058631574363011,15.960000038146973,0,1.1216101317846936,0.0834140931487598,3.437661512285289e-05,2.7315747477123727e-05
2019-09-26,0.0051762161359185,0.0058122361405245,16.06999969482422,0,1.1226566532929456,0.0831817917245545,3.3782088953219136e-05,2.6793213485743053e-05
2019-09-27,0.0052774017483606,0.005382789836367,17.219999313354492,0,1.019776457530695,0.09087685448306533,2.8974426422495873e-05,2.785096921359952e-05
2019-09-30,0.0060599420515026,0.0054443398917511,16.239999771118164,0,0.8982662836054282,0.09841345752939157,2.964083685691238e-05,3.672289766756955e-05
2019-10-01,0.0073452782478514,0.0059845289645481,18.559999465942383,0,0.8146341266475201,0.13632836035732018,3.581458692751515e-05,5.395311253835894e-05
2019-10-02,0.0086393125198986,0.0067309506237168,20.559999465942383,0,0.7790170330315545,0.17762426079522456,4.5305696298913575e-05,7.46377208164767e-05
