core,alpha,beta,core2,AnnRet,Sharpe,MaxDD
0.0,1.5,0.0,0.3,0.12947824719550693,0.9187034044873593,-0.27907427264985896
0.0,1.5,0.0,0.2,0.12947824719550693,0.9187034044873593,-0.27907427264985896
0.0,1.5,0.0,0.1,0.12947824719550693,0.9187034044873593,-0.27907427264985896
0.0,1.5,0.0,0.0,0.12947824719550693,0.9187034044873593,-0.27907427264985896
0.25,1.5,0.0,0.0,0.12942148627891936,0.9182999515182533,-0.2790742726498583
0.25,1.5,0.0,0.1,0.12942148627891936,0.9182999515182533,-0.2790742726498583
0.25,1.5,0.0,0.2,0.12942148627891936,0.9182999515182533,-0.2790742726498583
0.25,1.5,0.0,0.3,0.12942148627891936,0.9182999515182533,-0.2790742726498583
0.0,1.0,0.0,0.3,0.12940256166943787,0.9181652925769881,-0.27907427264985885
0.0,1.0,0.0,0.2,0.12940256166943787,0.9181652925769881,-0.27907427264985885
0.0,1.0,0.0,0.1,0.12940256166943787,0.9181652925769881,-0.27907427264985885
0.0,1.0,0.0,0.0,0.12940256166943787,0.9181652925769881,-0.27907427264985885
0.25,1.0,0.0,0.0,0.12936470599097705,0.9178957130826648,-0.2790742726498583
0.25,1.0,0.0,0.1,0.12936470599097705,0.9178957130826648,-0.2790742726498583
0.25,1.0,0.0,0.2,0.12936470599097705,0.9178957130826648,-0.2790742726498583
0.25,1.0,0.0,0.3,0.12936470599097705,0.9178957130826648,-0.2790742726498583
0.5,1.5,0.0,0.0,0.12936470599097705,0.9178957130826648,-0.2790742726498583
0.5,1.5,0.0,0.1,0.12936470599097705,0.9178957130826648,-0.2790742726498583
0.5,1.5,0.0,0.2,0.12936470599097705,0.9178957130826648,-0.2790742726498583
0.5,1.5,0.0,0.3,0.12936470599097705,0.9178957130826648,-0.2790742726498583
0.5,1.0,0.0,0.3,0.12932684169588038,0.9176257851241812,-0.2790742726498585
0.5,1.0,0.0,0.2,0.12932684169588038,0.9176257851241812,-0.2790742726498585
0.5,1.0,0.0,0.1,0.12932684169588038,0.9176257851241812,-0.2790742726498585
0.5,1.0,0.0,0.0,0.12932684169588038,0.9176257851241812,-0.2790742726498585
0.0,0.5,0.0,0.0,0.12932684169588038,0.9176257851241812,-0.2790742726498585
0.0,0.5,0.0,0.1,0.12932684169588038,0.9176257851241812,-0.2790742726498585
0.0,0.5,0.0,0.2,0.12932684169588038,0.9176257851241812,-0.2790742726498585
0.0,0.5,0.0,0.3,0.12932684169588038,0.9176257851241812,-0.2790742726498585
0.25,0.5,0.0,0.0,0.12930790631560507,0.9174906906029927,-0.2790742726498582
0.25,0.5,0.0,0.1,0.12930790631560507,0.9174906906029927,-0.2790742726498582
0.25,0.5,0.0,0.2,0.12930790631560507,0.9174906906029927,-0.2790742726498582
0.25,0.5,0.0,0.3,0.12930790631560507,0.9174906906029927,-0.2790742726498582
